,name,base_class,base_lvl,base_hp,base_s_or_m,base_skl,base_spd,base_lck,base_def,base_res,base_con,base_mov,total_base
0,Roy,Lord,1,18,5,5,7,7,5,0,6,5,53
1,Marcus,Paladin,1,32,9,14,11,10,9,8,11,8,104
2,Allen,Cavalier,1,21,7,4,6,3,6,0,9,7,56
3,Lance,Cavalier,1,20,5,6,8,2,6,0,9,7,56
4,Wolt,Archer,1,18,4,4,5,2,4,0,7,5,44
5,Bors,Knight,1,20,7,4,3,4,11,0,14,4,63
6,Merlinus,Transporter,1,15,0,3,3,10,3,0,25,5,59
7,Ellen,Priest,2,16,1,6,8,8,0,6,4,5,49
8,Dieck,Mercenary,5,26,9,12,10,5,6,1,13,5,82
9,Wade,Fighter,2,28,8,3,5,4,3,0,13,5,64
10,Lott,Fighter,3,29,7,6,7,2,4,1,12,5,68
11,Thany,Pegasus Knight,1,17,4,6,12,5,6,5,4,7,59
12,Chad,Thief,1,16,3,3,10,4,2,0,5,6,43
13,Lugh,Mage,1,16,4,5,6,5,3,5,4,5,48
14,Clarine,Troubadour,1,15,2,5,9,8,2,5,5,7,51
15,Rutger,Myrmidon,4,22,7,12,13,2,5,0,7,5,68
16,Rutger (HM),Myrmidon,4,26,9,14,15,4,6,1,7,5,82
17,Saul,Priest,5,20,4,6,10,2,2,5,6,5,55
18,Dorothy,Archer,3,19,5,6,6,3,4,2,7,5,52
19,Sue,Nomad,1,18,5,7,8,4,5,0,5,7,52
21,Zealot,Paladin,1,35,10,12,13,5,11,7,11,8,104
22,Treck,Cavalier,4,25,8,6,7,5,8,0,9,7,68
23,Noah,Cavalier,7,27,8,7,9,6,7,1,10,7,75
24,Astohl,Thief,10,25,7,8,15,11,7,3,8,6,84
25,Lilina,Mage,1,16,5,5,4,4,2,7,4,5,47
26,Wendy,Knight,1,19,4,3,3,6,8,1,10,4,54
27,Barth,Knight,9,25,10,6,5,2,14,1,16,4,79
28,Oujay,Mercenary,3,24,7,10,9,6,4,0,8,5,68
29,Fir,Myrmidon,1,19,6,9,10,3,3,1,5,5,56
30,Fir (HM),Myrmidon,1,25,9,12,13,5,4,2,5,5,75
31,Shin,Nomad,5,24,7,8,10,6,7,0,7,7,69
32,Shin (HM),Nomad,5,29,9,11,14,8,8,1,7,7,87
33,Gonzales,Bandit,5,36,12,5,9,5,6,0,15,5,88
34,Gonzales (HM),Bandit,5,43,16,7,11,6,7,1,15,5,106
35,Geese,Pirate,10,33,10,9,9,9,8,0,11,5,89
36,Klein,Sniper,1,27,13,13,11,10,8,6,7,6,95
37,Klein (HM),Sniper,1,33,16,16,13,13,9,7,7,6,114
38,Tate,Pegasus Knight,8,22,6,8,11,3,7,6,5,7,68
39,Tate (HM),Pegasus Knight,8,28,9,12,15,6,8,8,5,7,91
41,Lalum,Dancer,1,14,1,2,11,9,2,4,4,5,47
42,Echidna,Hero,1,35,13,19,18,6,8,7,9,6,115
43,Elphin,Bard,1,15,1,3,10,11,4,1,6,5,51
44,Bartre,Warrior,2,48,22,11,10,14,10,3,14,6,132
45,Ray,Shaman,12,23,12,9,9,6,5,10,4,5,78
46,Cath,Thief,5,16,3,7,11,8,2,1,5,6,53
47,Cath (HM),Thief,5,20,3,11,15,12,2,3,5,6,71
48,Miredy,Wyvern Rider,10,30,12,11,10,5,13,3,9,7,93
49,Miredy (HM),Wyvern Rider,10,38,17,15,13,8,16,4,9,7,120
50,Percival,Paladin,5,43,17,13,18,12,14,11,12,8,140
51,Percival (HM),Paladin,5,51,20,16,20,15,15,13,12,8,162
52,Cecilia,Valkyria,1,30,11,7,10,10,7,13,6,8,94
53,Sofiya,Shaman,1,15,6,2,4,3,1,8,3,5,42
54,Igrene,Sniper,1,32,16,18,15,9,11,10,7,6,118
55,Garret,Berserker,1,49,17,13,10,12,9,4,13,6,127
56,Garret (HM),Berserker,1,55,21,16,11,14,10,5,13,6,145
57,Fa,Mamkute,1,16,2,2,3,7,2,6,1,5,39
58,Hugh,Mage,15,26,13,11,12,10,9,9,7,5,97
59,Zeis,Wyvern Rider,7,28,14,9,8,6,12,2,10,7,89
60,Zeis (HM),Wyvern Rider,7,37,19,13,11,9,15,3,10,7,117
62,Douglas,General,8,46,19,13,8,11,20,5,17,5,139
63,Niime,Druid,18,25,21,20,16,15,5,18,4,6,124
64,Dayan,Nomadic Trooper,12,43,14,16,20,12,10,12,9,8,136
65,Juno,Falcon Knight,9,33,11,14,16,14,8,12,7,8,115
66,Yodel,Bishop,20,35,19,18,14,11,5,30,6,6,138
67,Karel,Swordmaster,19,44,20,28,23,18,15,13,9,6,170
68,Narshen,Wyvern Lord,10,46,16,13,16,13,20,12,11,8,147
69,Gale,Wyvern Lord,18,49,22,15,13,11,22,14,12,8,158
70,Hector,General,20,43,18,20,10,15,30,15,20,5,171
71,Brunya,Sage,20,38,23,18,18,17,18,25,6,6,163
72,Eliwood,Paladin,20,48,25,20,22,14,24,15,11,8,179
73,Murdoch,General,20,60,27,19,12,12,25,17,20,5,192
74,Zephiel,King,20,60,24,20,14,15,22,24,17,5,196
75,Guinevere,Sage,20,29,24,24,23,24,13,25,5,6,167
