,name,base_class,base_lvl,base_hp,base_s_or_m,base_skl,base_spd,base_lck,base_def,base_res,base_con,base_mov,total_base
0,Lyn,Lord,1,16,4,7,9,5,2,0,5,5,48
1,Sain,Cavalier,1,19,8,4,6,4,6,0,9,7,56
2,Kent,Cavalier,1,20,6,6,7,2,5,1,9,7,56
3,Florina,Pegasus Knight,1,17,5,7,9,7,4,4,4,7,57
4,Wil,Archer,2,20,6,5,5,6,5,0,6,5,53
5,Dorcas,Fighter,3,30,7,7,6,3,3,0,14,5,70
6,Serra,Cleric,1,17,2,5,8,6,2,5,4,5,49
7,Erk,Mage,1,17,5,6,7,3,2,4,5,5,49
8,Rath,Nomad,7,25,8,9,10,5,7,2,8,7,74
9,Matthew,Thief,2,18,4,4,11,2,3,0,7,6,49
11,Lucius,Monk,3,18,7,6,10,2,1,6,6,5,56
12,Wallace *,Knight,12,30,13,7,5,10,15,2,13,4,95
13,Wallace *,General,1,34,15,9,8,10,17,5,15,5,113
14,Eliwood,Lord,1,18,5,5,7,7,5,0,7,5,54
15,Lowen,Cavalier,2,23,7,5,7,3,7,0,10,7,62
16,Marcus,Paladin,1,31,15,15,11,8,10,8,11,8,109
17,Rebecca,Archer,1,17,4,5,6,4,3,1,5,5,45
18,Dorcas,Fighter,3,30,7,7,6,3,3,0,14,5,70
19,Bartre,Fighter,2,29,9,5,3,4,4,0,13,5,67
20,Hector,Lord,1,19,7,4,5,3,8,0,13,5,59
21,Oswin,Knight,9,28,13,9,5,3,13,3,14,4,88
22,Serra,Cleric,1,17,2,5,8,6,2,5,4,5,49
23,Matthew,Thief,2,18,4,4,11,2,3,0,7,6,49
24,Guy,Myrmidon,3,21,6,11,11,5,5,0,5,5,64
25,Guy HM,Myrmidon,3,25,8,13,13,5,6,1,5,5,76
26,Merlinus,Transporter,5,18,0,4,5,12,5,2,25,0,71
27,Erk,Mage,1,17,5,6,7,3,2,4,5,5,49
28,Priscilla,Troubadour,3,16,6,6,8,7,3,6,4,7,56
29,Lyn,Lord,4,18,5,10,11,5,2,0,5,5,56
30,Wil,Archer,4,21,6,5,6,7,5,1,6,5,57
31,Kent,Cavalier,5,23,8,7,8,4,6,1,9,7,66
32,Sain,Cavalier,4,22,9,5,7,5,7,0,9,7,64
33,Florina,Pegasus Knight,3,18,6,8,9,8,4,5,4,7,62
35,Raven,Mercenary,5,25,8,11,13,2,5,1,8,5,73
36,Raven HM,Mercenary,5,29,10,13,15,2,6,2,8,5,85
37,Lucius,Monk,3,18,7,6,10,2,1,6,6,5,56
38,Canas,Shaman,8,21,10,9,8,7,5,8,7,5,75
39,Dart,Pirate,8,34,12,8,8,3,6,1,10,5,82
40,Fiora,Pegasus Knight,7,21,8,11,13,6,6,7,5,7,77
41,Legault,Thief,12,26,8,11,15,10,8,3,9,6,90
42,Legault HM,Thief,12,29,8,13,17,10,8,4,9,6,98
43,Ninian,Dancer,1,14,0,0,12,10,5,4,4,5,49
44,Isadora,Paladin,1,28,13,12,16,10,8,6,6,8,99
45,Heath,Wyvern Rider,7,28,11,8,7,7,10,1,9,7,81
46,Heath HM,Wyvern Rider,7,32,13,10,9,7,11,2,9,7,93
47,Rath,Nomad,9,27,9,10,11,5,8,2,7,7,79
48,Hawkeye,Berserker,4,50,18,14,11,13,14,10,16,6,146
49,Geitz,Warrior,3,40,17,12,13,10,11,3,13,6,119
50,Geitz HM,Warrior,3,44,19,13,14,10,12,4,13,6,129
51,Wallace,General,1,34,16,9,8,10,19,5,15,5,116
52,Farina,Pegasus Knight,12,24,10,13,14,10,10,12,5,7,98
53,Pent,Sage,6,33,18,21,17,14,11,16,8,6,138
54,Louise,Sniper,4,28,12,14,17,16,9,12,6,6,114
56,Karel,Swordmaster,8,31,16,23,20,15,13,12,9,6,139
57,Harken,Hero,8,38,21,20,17,12,15,10,11,6,144
58,Harken HM,Hero,8,42,23,22,18,12,16,11,11,6,155
59,Nino,Mage,5,19,7,8,11,10,4,7,3,5,69
60,Jaffar,Assassin,13,34,19,25,24,10,15,11,8,6,146
61,Vaida,Wyvern Lord,9,43,20,19,13,11,21,6,12,8,145
62,Vaida HM,Wyvern Lord,9,47,22,21,14,11,22,7,12,8,156
64,Karla,Swordmaster,5,29,14,21,18,16,11,12,7,6,128
65,Renault,Bishop,16,43,12,22,20,10,15,18,9,6,149
66,Athos,Archsage,20,40,30,24,20,25,20,28,9,6,196
