,name,hp_growth,s_or_m_growth,skl_growth,spd_growth,lck_growth,def_growth,res_growth,total_growths
0,Eirika,70,40,60,60,60,30,30,350
1,Seth,90,50,45,45,25,40,30,325
2,Franz,80,40,40,50,40,25,20,295
3,Gilliam,90,45,35,30,30,55,20,305
4,Moulder,70,40,50,40,20,25,25,270
5,Vanessa,50,35,55,60,50,20,30,300
6,Ross,70,50,35,30,40,25,20,270
7,Garcia,80,65,40,20,40,25,15,285
8,Neimi,55,45,50,60,50,15,35,310
9,Colm,75,40,40,65,45,25,20,310
10,Artur,55,50,50,40,25,15,55,290
11,Lute,45,65,30,45,45,15,40,285
12,Natasha,50,60,25,40,60,15,55,305
13,Joshua,80,35,55,55,30,20,20,295
14,Ephraim,80,55,55,45,50,35,25,345
15,Forde,85,40,50,45,35,20,25,300
16,Kyle,90,50,40,40,20,25,20,285
17,Tana,65,45,40,65,60,20,25,320
18,Amelia,60,35,40,40,50,30,15,270
19,Innes,75,40,40,45,45,20,25,290
21,Gerik,90,45,40,30,30,35,25,295
22,Tethys,85,5,10,70,80,30,75,355
23,Marisa,75,30,55,60,50,15,25,310
24,L’Arachel,45,50,45,45,65,15,50,315
25,Dozla,85,50,35,40,30,30,25,295
26,Saleh,50,30,25,40,40,30,35,250
27,Ewan,50,45,40,35,50,15,40,275
28,Cormag,85,55,40,45,35,25,15,300
29,Rennac,65,25,45,60,25,25,30,275
30,Duessel,85,55,40,30,20,45,30,305
31,Knoll,70,50,40,35,20,10,45,270
32,Myrrh,130,90,85,65,30,150,30,580
33,Syrene,70,40,50,60,30,20,50,320
34,Caellach,85,50,45,45,20,30,20,295
35,Orson,80,55,45,40,25,45,30,320
36,Riev,75,45,50,40,15,20,45,290
37,Ismaire,75,30,60,55,30,20,25,295
38,Selena,85,40,55,40,25,20,30,295
39,Glen,85,45,50,45,20,35,40,320
40,Hayden,70,40,45,45,40,25,25,290
42,Valter,80,40,55,50,15,20,20,280
43,Fado,85,55,40,30,25,45,25,305
44,Lyon,85,50,55,55,30,45,55,375
45,Knoll’s Phantom,0,50,50,40,55,0,0,195
46,Ewan’s Phantom,0,70,40,20,40,0,0,170
47,Lyon’s Phantom,0,60,45,30,60,0,0,195
